,dummy_sysid,ageagainstinstallation,RemainingTime,count,hour,Last_service,dummy_part_number
0,sys1420,11.18,7.214384963,12,5.5,0.150584885,0
2970,sys1041,11.13,0,14,0,3.156806779,0
5622,sys1393,11.12,9.941340342,20,1,4.142453302,0
40722,sys1529,11.11,7.145937288,12,0.56,0.156060699,1
43794,sys1789,11.04,0,4,0.7,3.1650205,1
44270,sys649,11.02,0,14,0,2.165684443,0
45926,sys2258,10.86,0,1,0.33,1.52775211,0
45927,sys1719,10.83,6.866670774,23,0,4.156142837,1
46361,sys1565,10.83,0,15,2.4,4.241017954,1
51025,sys710,10.8,0,12,1,1.149920943,0
56625,sys1148,10.78,0,9,0.16,0.16427442,0
56870,sys1418,10.78,0,12,0,0.235460003,0
57386,sys2272,10.77,6.811912633,1,0,3.041814685,0
57390,sys1741,10.72,0,8,2.5,3.24715771,0
58770,sys1485,10.66,0,22,0,7.16236473,0
60102,sys2132,10.66,0,6,0,4.167094465,0
60246,sys1883,10.55,5.084293312,19,0,2.151994907,0
75576,sys1523,10.53,5.062390056,22,2,1.169086292,1
76613,sys1519,10.52,6.562763096,19,0.35,2.157470722,0
84363,sys1486,10.52,5.059652149,12,0,2.162946536,1
90978,sys1914,10.52,5.051438428,52,0.97,2.236870025,0
94458,sys1881,10.51,5.048700521,17,0,3.244419803,0
98828,sys547,10.51,5.043224707,9,1.5,1.171824199,1
98990,sys2218,10.51,5.530572154,2,0,0.421637679,0
99011,sys1380,10.5,0,10,0.25,4.158880744,0
102336,sys2211,10.5,5.52509634,6,0,3.436073294,1
102364,sys1848,10.5,5.037748893,17,1.27,0.156060699,0
103132,sys1756,10.49,9.311621731,13,0,0.167012327,0
103216,sys1154,10.49,5.021321451,9,0,3.154068872,0
110346,sys1497,10.42,6.455984722,15,0.5,0.235460003,0
110654,sys1696,10.38,0,12,0,0.156060699,0
111536,sys1121,10.38,6.417654024,13,0.27,0.158798606,0
125936,sys1549,10.37,5.390938897,12,0,0.169750234,0
126508,sys1650,10.3,5.319753315,21,0,2.340910491,0
126844,sys1770,10.29,5.317015408,12,3.68,0.156060699,0
129773,sys1575,10.28,5.303325873,14,0,1.166348385,0
131093,sys827,10.28,4.815978425,17,0.5,5.155478894,0
133646,sys1629,10.26,5.284160523,11,1.41,1.169086292,0
142367,sys1646,10.26,4.794075169,13,0,1.23479606,0
147247,sys1713,10.26,5.281422616,14,0,2.236870025,0
149677,sys1796,10.26,5.278684709,12,0.37,0.153322792,0
151679,sys1462,10.26,5.278684709,8,0.33,6.168504487,0
168419,sys1686,10.25,6.291710302,14,1.25,5.169168429,0
168515,sys972,10.24,5.267733081,11,0.5,2.157470722,1
169481,sys807,10.24,0,17,0.5,2.165684443,0
189501,sys1745,10.23,5.254043546,9,0,1.149920943,1
190743,sys1203,10.07,0,13,3,7.148675195,0
190946,sys2150,10.05,5.076079591,8,0,3.156806779,0
191016,sys1786,10.03,4.569566795,10,0,1.330622805,0
191592,sys1844,10.03,5.054176335,13,0,4.227328419,0
192166,sys806,10.03,4.813240518,13,0,2.245083746,0
196080,sys1567,10.03,4.561353074,11,0.15,2.173898164,0
197712,sys1856,10.02,5.045962614,5,0,2.663983518,0
197737,sys1504,10.01,8.944742192,15,0,0.156060699,1
205657,sys1350,10,5.026797265,11,0.65,2.590060029,0
207658,sys1125,10,8.824274284,20,1.01,7.170578451,0
226971,sys2220,9.99,5.01310773,1,0,1.410022109,0
226974,sys1023,9.95,4.736579122,18,4,1.155396757,1
230884,sys920,9.93,4.471002142,8,0.65,3.236206082,0
230938,sys1878,9.92,4.941922148,11,4,2.16842235,0
231323,sys618,9.92,4.703724238,14,0.47,1.15265885,1
232394,sys2175,9.92,5.95494774,12,0.4,0.235460003,0
232422,sys2177,9.88,0,4,0,4.580518423,0
232482,sys1812,9.86,4.397078653,22,0,2.171160257,1
236706,sys834,9.85,4.63801447,11,0,4.23554214,0
241608,sys1706,9.84,4.859784937,10,0,2.171160257,0
245007,sys1573,9.81,5.850907274,12,1.5,1.15265885,1
257733,sys1872,9.8,4.585994237,17,2,9.155561031,0
269190,sys2286,9.77,4.796813076,28,0,4.421719816,1
269208,sys1566,9.76,5.801624948,11,0.64,3.143117244,0
273798,sys1729,9.76,4.783123541,10,3,2.151994907,0
277038,sys1709,9.76,4.293038187,10,0,4.169832372,0
278438,sys1001,9.76,4.542187725,11,0.39,1.149920943,0
290900,sys2236,9.75,4.539449818,9,0,1.059570012,0
290908,sys1561,9.68,8.610717537,10,0.75,0.150584885,0
291259,sys1348,9.62,4.158880744,8,0.33,1.319671177,1
291619,sys1481,9.62,4.646228191,7,0,0.23819791,0
291641,sys1645,9.6,8.534056141,17,0.83,4.150667023,0
292291,sys1690,9.59,0,16,1.08,1.155396757,1
292606,sys1597,9.58,8.514890792,10,0.67,4.150667023,1
292830,sys1129,9.57,4.353272141,12,6,2.247821653,0
292985,sys1548,9.55,0,12,0,7.145937288,0
293559,sys2433,9.55,4.336844699,2,0,2.620177006,0
293561,sys1888,9.54,4.07948144,8,0,0.183439769,0
293575,sys1762,9.53,4.55587726,59,0,1.314195363,0
298027,sys1857,9.53,5.850907274,38,0,4.150667023,0
300442,sys1564,9.52,3.926158648,14,0,0.150584885,0
308365,sys1174,9.52,4.303989815,11,0,3.159544686,1
308597,sys1227,9.52,5.555213317,9,0,0.249149538,0
312587,sys1469,9.52,3.917944927,14,3,2.151994907,0
326377,sys1487,9.51,4.295776094,7,0.08,2.16842235,0
326870,sys1992,9.51,4.533974004,10,0.37,3.416907945,0
326884,sys1585,9.51,4.295776094,14,5.86,2.256035374,0
327754,sys591,9.51,3.909731206,14,1.32,2.160208629,0
328570,sys1495,9.5,3.906993299,14,1.51,3.156806779,0
339970,sys2013,9.45,4.23554214,4,1.98,4.668131447,0
339977,sys1761,9.41,5.453910758,9,0,1.410022109,0
340037,sys1226,9.4,5.645564248,10,0.5,1.163610478,1
342017,sys2035,9.39,4.178046093,13,0.5,4.156142837,1
342107,sys1583,9.37,4.158880744,9,0.56,2.143781186,0
346536,sys1820,9.37,3.772835856,10,0.92,0.150584885,0
348226,sys1559,9.37,3.906993299,7,0.45,3.170496314,0
349522,sys1731,9.33,3.868662601,10,0,2.154732814,0
349690,sys1475,9.3,3.70438818,17,1.52,1.486683505,1
350086,sys2197,9.29,4.312203536,26,2,1.41823583,0
350455,sys1771,9.28,4.063053998,11,0,2.242345839,1
353214,sys1539,9.27,3.811166554,14,1.5,0.150584885,0
365373,sys1534,9.27,3.811166554,29,1.75,0.156060699,0
368690,sys1959,9.27,5.516882619,18,0.67,0.150584885,0
378601,sys1687,9.26,4.046626556,8,0.4,2.253297467,0
379261,sys1122,9.26,3.663319575,28,0.75,5.152740987,0
393130,sys1598,9.26,3.017173522,13,0,1.141707222,0
394810,sys1530,9.26,3.792001205,10,0.74,4.150667023,1
395558,sys1644,9.16,3.56749283,12,3,3.159544686,0
402908,sys1837,9.15,3.931634462,35,0,0.156060699,0
422258,sys1442,9.11,4.194473535,15,0,1.155396757,0
422398,sys1648,9.1,5.141789359,11,1,3.1650205,0
430478,sys818,9.08,4.104122603,12,0.14,3.321081199,0
430838,sys1898,9.05,3.452500736,11,0,3.167758407,0
433504,sys1612,9.02,4.104122603,9,0.97,4.142453302,0
435229,sys1607,9.02,3.419645852,21,0,0.150584885,0
442865,sys2205,9.01,2.770761891,4,11,3.537375853,1
442866,sys1814,9.01,3.414170038,13,1,1.147183036,0
445050,sys1479,9,4.087695161,32,1.83,4.23554214,1
445248,sys792,8.97,7.792083342,18,1.3,2.146519093,0
446064,sys902,8.96,5.202023313,9,3.5,4.241017954,0
446224,sys1443,8.94,3.726291437,13,0,0.156060699,0
446675,sys1654,8.88,3.808428647,8,0,4.156142837,0
447566,sys643,8.83,3.761884228,12,0.02,1.237533967,0
448140,sys1924,8.83,5.073341684,8,1.49,3.233468175,0
448200,sys2163,8.83,4.241017954,1,0,2.231394211,0
448236,sys1727,8.82,5.065127963,12,0,0.156060699,0
457196,sys1562,8.82,3.353936084,9,2.54,4.232804233,0
457430,sys1692,8.8,3.200613291,4,0,2.242345839,0
457437,sys1775,8.79,8.268479161,9,,1.149920943,0
458661,sys1718,8.78,3.186923756,3,4,3.48535562,0
458691,sys1527,8.78,8.263003347,17,0.5,0.167012327,0
462132,sys2478,8.78,4.520284469,13,4.75,1.013025593,1
462196,sys1668,8.78,5.883762158,10,4,3.236206082,0
466213,sys1538,8.78,8.257527533,9,0,4.172570279,0
467478,sys2287,8.76,3.159544686,3,0,1.399070481,0
467485,sys2381,8.75,4.487429584,2,0,0.88708187,1
467487,sys1305,8.72,3.121213988,13,0,1.229320246,0
468150,sys1584,8.71,3.734505158,24,0.5,0.150584885,0
469030,sys1494,8.69,2.444950957,7,0,4.142453302,0
469446,sys1757,8.68,4.72015168,18,0,0.150584885,0
476841,sys1932,8.66,4.90359145,15,0.35,4.232804233,0
477673,sys2038,8.66,4.700986331,6,1.44,3.586658179,0
477757,sys1581,8.64,8.12337009,18,0,3.24715771,1
485601,sys1791,8.62,3.408694224,3,0.42,1.530490017,0
485604,sys1965,8.6,2.998008173,12,1,1.141707222,0
490719,sys453,8.59,8.074087764,13,0.5,1.15265885,0
492199,sys1733,8.56,8.046708694,12,2.95,0.235460003,0
494695,sys1889,8.55,4.794075169,12,0,5.155478894,0
495431,sys1980,8.54,8.353354278,14,0.5,0.167012327,0
495887,sys1755,8.53,4.276610745,14,0.15,4.23554214,0
497612,sys1766,8.53,8.008377995,9,0,2.236870025,0
501932,sys1855,8.51,7.991950553,8,0.62,1.144445129,0
503864,sys1897,8.51,6.644900306,11,0.2,5.147265173,1
505404,sys1991,8.51,4.251969582,7,0,3.326557013,0
505575,sys2172,8.51,2.913133055,1,0.2,3.731767251,0
505576,sys1592,8.51,6.642162399,14,0,4.150667023,0
507276,sys1712,8.51,7.989212646,15,0,3.156806779,0
509434,sys1694,8.48,8.295858231,3,0,3.145855151,0
509723,sys1688,8.46,4.539449818,4,5,4.323155164,0
509745,sys1656,8.46,5.563427038,9,0,0.161536513,0
510270,sys1651,8.46,7.93993032,14,1.5,3.159544686,0
511510,sys2332,8.45,2.855637008,5,0.1,1.50037304,0
511518,sys1995,8.44,3.466190271,21,1.9,0.240935817,0
512490,sys1171,8.44,2.841947473,9,0.42,4.156142837,0
512526,sys1763,8.44,8.252051719,16,0,2.313531421,0
523929,sys2112,8.43,6.56823891,7,0,2.162946536,0
524013,sys2036,8.42,4.659917726,7,0,0.490085354,0
524149,sys2161,8.41,7.896123808,1,0,1.577034436,0
524153,sys1829,8.36,4.405292374,17,0.64,2.162946536,1
529319,sys1785,8.36,7.846841482,9,6.62,3.156806779,0
529917,sys1563,8.36,6.499791235,10,0,2.162946536,0
530286,sys1769,8.36,4.39981656,7,0,4.150667023,0
532768,sys1601,8.36,2.759810263,8,3,2.146519093,0
532906,sys1415,8.34,4.312203536,10,0,3.241681896,0
533470,sys1625,8.33,5.432007502,11,0.21,2.319007235,0
535134,sys1476,8.32,6.455984722,15,1,0.153322792,1
544066,sys1827,8.32,6.436819373,17,0,1.166348385,0
544141,sys1693,8.32,7.797559156,33,0,2.154732814,0
579237,sys1608,8.32,7.797559156,10,2,3.159544686,0
579685,sys1831,8.32,7.797559156,12,0,0.156060699,0
583195,sys1640,8.3,6.436819373,11,0,4.15340493,0
586660,sys2271,8.3,4.041150742,14,0,0.32033512,1
586762,sys1894,8.3,4.339582606,9,2,0.16427442,0
586852,sys1843,8.3,4.271134931,12,0.53,3.170496314,0
587188,sys1779,8.29,7.770180086,11,0,0.150584885,0
588772,sys1795,8.29,7.767442179,14,0,1.18003792,0
591172,sys1701,8.29,7.767442179,17,1.5,4.150667023,1
607360,sys1880,8.28,5.382725176,35,0,0.336762562,1
620256,sys1854,8.26,7.745538923,16,2.47,1.160872571,0
623853,sys1921,8.26,4.342320513,64,4.2,4.566828888,0
625629,sys1552,8.26,7.740063109,9,0.62,4.241017954,0
628905,sys1537,8.24,2.004147929,15,0,3.233468175,1
629031,sys1861,8.24,6.371109605,17,5,3.1650205,0
629911,sys1728,8.15,7.523768455,11,0,1.327884898,0
630353,sys1508,8.13,3.841283531,12,0,2.236870025,1
632441,sys1840,8.13,6.264331232,5,0,4.232804233,0
632672,sys1433,8.11,1.867252579,5,0,2.41483398,0
632810,sys860,8.11,7.589478223,17,0,7.143199381,0
633317,sys968,8.1,3.80569074,21,0.75,5.160954708,0
635337,sys2301,8.09,5.196547499,7,0,1.52775211,0
635470,sys923,8.09,7.901599622,11,0.06,4.150667023,0
644990,sys1630,8.09,5.191071685,13,0.63,3.156806779,1
646440,sys1675,8.09,7.901599622,5,0,4.761220285,0
646517,sys1334,8.08,6.212310999,15,0,0.156060699,0
652397,sys2049,8.07,6.206835185,2,0,3.400480503,0
652439,sys1747,8.07,7.553885432,13,0.25,2.162946536,0
653102,sys1595,8.07,6.187669836,37,3.5,2.338172584,0
653228,sys1482,8.07,5.174644243,13,0,0.249149538,0
654636,sys1243,8.06,7.874220552,13,0,1.15265885,0
656656,sys1600,8.06,6.190407743,9,0,1.155396757,0
657580,sys1677,8.04,5.144527266,8,0.74,4.158880744,0
660246,sys1632,8.04,7.521030548,10,0,4.257445396,1
662478,sys1865,8.04,3.126689802,18,0,0.153322792,0
662855,sys1609,8.03,7.51007892,11,0.58,1.147183036,0
665825,sys795,8.02,6.154814952,16,0.37,3.156806779,0
666991,sys1689,8.02,7.499127292,11,1,4.161618651,0
668335,sys1669,8.01,7.493651478,11,,2.231394211,0
669583,sys1752,8.01,7.490913571,4,0,0.577698378,0
669593,sys1451,8.01,7.490913571,9,0,3.230730268,0
670918,sys1571,8,7.37318357,9,0.66,3.326557013,0
671107,sys1871,7.94,6.078153556,21,4.08,4.232804233,0
678065,sys2373,7.93,6.069939834,2,1.54,0.112254187,0
678069,sys1100,7.93,6.069939834,20,0,5.15000308,0
704557,sys2212,7.92,7.406038454,1,0,2.376503282,0
704558,sys1661,7.92,4.536711911,9,0,4.150667023,0
709398,sys1038,7.91,3.655105854,15,0,1.155396757,0
710982,sys1441,7.9,5.182857964,5,4.5,2.319007235,0
711057,sys1219,7.9,5.002156102,11,0,1.325146991,0
712761,sys1682,7.86,3.570230737,10,0.88,0.150584885,0
713005,sys1735,7.85,5.971375182,9,3.16,0.158798606,1
716470,sys1790,7.85,3.589396086,34,0.02,2.16842235,0
720397,sys1503,7.84,7.657925899,22,,2.143781186,0
723779,sys2325,7.84,7.321163337,1,0,4.117812139,0
723785,sys1456,7.84,1.598937692,6,0.87,0.153322792,0
723861,sys1447,7.81,7.288308453,14,2,2.171160257,0
727173,sys1659,7.8,7.614119386,9,0.97,0.150584885,1
729063,sys1496,7.79,5.070603777,11,1.43,1.322409084,0
729105,sys2153,7.79,4.895377728,8,0,3.414170038,1
729805,sys1947,7.78,3.759146321,4,5,1.253961409,0
729853,sys1589,7.78,3.824856089,15,0,1.163610478,0
730648,sys706,7.78,7.600429851,8,0,2.154732814,1
732043,sys1946,7.78,7.594954037,8,0.6,6.256117511,0
732618,sys1939,7.77,4.876212379,16,0.5,2.151994907,1
732966,sys1635,7.72,7.206171242,17,0.29,3.156806779,0
734020,sys909,7.72,5.859120995,22,1,1.160872571,0
737135,sys1384,7.69,7.176054265,12,0.46,0.257363259,0
737407,sys797,7.68,3.425121666,5,0,2.143781186,0
