,dummy_sr_number,dummy_sysid,sr_open_date,count
0,sr1,sys1921,2018-02-01,64
1,sr2,sys1621,2020-02-01,60
2,sr3,sys1762,2021-07-06,59
3,sr4,sys1914,2018-01-15,52
4,sr5,sys1611,2017-01-30,51
5,sr6,sys1900,2018-08-13,51
6,sr7,sys2134,2017-10-13,42
7,sr9,sys1681,2020-09-16,38
8,sr8,sys1857,2017-04-09,38
9,sr10,sys1595,2017-11-21,37
10,sr11,sys2244,2020-08-13,36
11,sr12,sys1837,2018-05-14,35
12,sr14,sys1723,2018-03-14,35
13,sr13,sys1880,2017-04-09,35
14,sr19,sys1790,2021-02-25,34
15,sr17,sys1448,2017-06-14,34
16,sr16,sys2086,2016-03-29,34
17,sr15,sys2557,2019-10-06,34
18,sr18,sys1909,2021-02-25,34
19,sr20,sys1693,2018-11-14,33
20,sr23,sys1902,2016-01-11,32
21,sr22,sys2502,2017-01-01,32
22,sr21,sys2398,2017-03-30,32
23,sr24,sys1479,2018-11-26,32
24,sr25,sys1448,2018-06-19,31
25,sr26,sys1522,2019-07-01,29
26,sr29,sys2501,2019-04-18,29
27,sr27,sys1534,2019-05-20,29
28,sr28,sys1116,2018-02-23,29
29,sr31,sys2286,2021-02-19,28
30,sr30,sys1122,2013-07-06,28
31,sr33,sys2009,2019-12-23,27
32,sr32,sys1790,2019-12-12,27
33,sr35,sys2481,2019-06-17,27
34,sr34,sys1695,2020-07-30,27
35,sr37,sys1693,2021-02-24,26
36,sr38,sys2197,2018-03-26,26
37,sr36,sys2092,2017-05-30,26
38,sr40,sys2086,2020-10-15,25
39,sr41,sys1837,2018-03-29,25
40,sr42,sys1720,2020-10-08,25
41,sr43,sys1615,2018-02-25,25
42,sr39,sys1375,2017-07-11,25
43,sr46,sys1584,2018-10-25,24
44,sr45,sys864,2019-02-09,24
45,sr44,sys932,2019-09-23,24
46,sr57,sys2133,2018-08-31,23
47,sr53,sys870,2020-09-23,23
48,sr58,sys2230,2014-02-14,23
49,sr51,sys2077,2021-05-21,23
50,sr56,sys1446,2020-01-28,23
51,sr55,sys2086,2017-04-17,23
52,sr54,sys1885,2021-03-30,23
53,sr50,sys1720,2019-12-04,23
54,sr52,sys1719,2018-08-06,23
55,sr47,sys1933,2019-07-02,23
56,sr48,sys1478,2018-11-22,23
57,sr49,sys1705,2021-11-05,23
58,sr63,sys1653,2018-03-21,22
59,sr68,sys1503,2019-11-10,22
60,sr67,sys2167,2019-07-03,22
61,sr66,sys745,2017-05-12,22
62,sr65,sys1524,2018-11-06,22
63,sr64,sys1319,2020-10-29,22
64,sr61,sys1523,2017-06-30,22
65,sr62,sys1790,2020-08-26,22
66,sr70,sys977,2019-04-23,22
67,sr60,sys1485,2012-02-10,22
68,sr59,sys909,2018-09-10,22
69,sr71,sys1812,2017-02-27,22
70,sr72,sys1725,2017-06-28,22
71,sr69,sys1929,2021-03-22,22
72,sr80,sys2320,2018-04-24,21
73,sr87,sys1693,2021-04-20,21
74,sr88,sys2015,2017-02-11,21
75,sr86,sys1650,2019-09-01,21
76,sr74,sys1871,2019-10-29,21
77,sr85,sys637,2020-09-10,21
78,sr77,sys1710,2021-01-20,21
79,sr82,sys1948,2019-03-12,21
80,sr76,sys968,2020-07-29,21
81,sr75,sys1607,2020-09-16,21
82,sr81,sys2140,2018-12-27,21
83,sr83,sys2273,2017-03-30,21
84,sr79,sys2331,2020-04-24,21
85,sr84,sys2062,2018-08-02,21
86,sr78,sys1995,2020-10-26,21
87,sr73,sys1725,2017-02-02,21
88,sr93,sys1100,2020-10-20,20
89,sr101,sys2111,2016-12-17,20
90,sr97,sys1122,2016-01-26,20
91,sr94,sys721,2016-10-28,20
92,sr95,sys1125,2019-09-25,20
93,sr102,sys1912,2021-05-22,20
94,sr92,sys1695,2020-07-07,20
95,sr91,sys1615,2020-09-10,20
96,sr96,sys2234,2020-08-31,20
97,sr99,sys686,2020-11-23,20
98,sr98,sys1615,2020-12-21,20
99,sr103,sys1914,2021-06-28,20
100,sr105,sys2022,2021-01-14,20
101,sr104,sys2171,2017-02-10,20
102,sr89,sys1579,2019-10-07,20
103,sr90,sys2167,2017-04-24,20
104,sr100,sys1393,2013-06-28,20
105,sr115,sys1964,2018-02-11,19
106,sr110,sys1652,2021-05-21,19
107,sr111,sys1444,2015-12-15,19
108,sr118,sys1883,2020-05-19,19
109,sr114,sys1519,2017-01-12,19
110,sr122,sys909,2017-09-01,19
111,sr112,sys1478,2020-01-13,19
112,sr119,sys1929,2017-12-19,19
113,sr113,sys1653,2017-06-13,19
114,sr120,sys2468,2018-09-10,19
115,sr121,sys1611,2017-12-19,19
116,sr123,sys1908,2019-08-30,19
117,sr117,sys1485,2016-09-02,19
118,sr106,sys1012,2017-12-09,19
119,sr107,sys2133,2018-04-26,19
120,sr108,sys1526,2019-12-02,19
121,sr116,sys1725,2020-07-15,19
122,sr109,sys1473,2021-07-09,19
123,sr143,sys1816,2019-05-05,18
124,sr145,sys1393,2014-10-09,18
125,sr150,sys1999,2019-05-05,18
126,sr132,sys1762,2020-08-31,18
127,sr149,sys1607,2019-11-25,18
128,sr148,sys1532,2019-05-02,18
129,sr147,sys1616,2018-03-04,18
130,sr146,sys1523,2020-02-07,18
131,sr133,sys1522,2018-09-02,18
132,sr144,sys792,2018-06-15,18
133,sr134,sys2390,2017-04-10,18
134,sr152,sys1581,2019-11-18,18
135,sr135,sys2295,2020-10-29,18
