,sr_open_date,sr_close_date,activity_type_std,Cos,hour,dummy_sr_number,dummy_sysid,dummy_part_number
0,2018-05-28,2018-06-06,,955.9447219000001,,sr22953,sys2209,part135
1,2018-11-15,2018-11-26,,1448.208932,,sr17545,sys1944,part13
4,2019-07-24,2019-10-26,Field Service,49.44559585,0.0,sr428,sys1812,part260
8,2021-01-26,2021-08-05,,17.45356834,0.0,sr226,sys1959,part217
9,2017-08-05,2017-10-06,Field Service,448.9271557,0.0,sr7824,sys1959,part31
14,2021-02-24,2021-04-15,,34.95813034,0.0,sr11356,sys1767,part161
16,2018-01-21,2018-02-23,Field Service,18571.49061,0.0,sr2875,sys1767,part2
17,2018-05-14,2018-06-15,Field Service,120.12697709999999,0.0,sr10282,sys1603,part10
21,2019-09-07,2019-08-26,Field Service,64.51908003,0.0,sr9531,sys1829,part9
24,2020-03-01,2020-02-21,,1.580030705,0.0,sr6489,sys1829,part41
25,2018-10-15,2018-12-15,,10.18300331,0.0,sr8324,sys1912,part14
29,2018-08-13,2018-09-19,Field Service,116.6600228,0.0,sr225,sys1471,part255
30,2019-12-06,2020-01-20,Field Service,13941.72512,0.0,sr4071,sys1471,part2
40,2021-01-15,2021-02-25,Field Service,66.08395133,0.0,sr9721,sys1699,part9
41,2017-08-16,2017-09-25,Field Service,16744.009019999998,0.0,sr3007,sys1699,part3
43,2017-06-01,2017-10-02,Field Service,644.1753888,0.0,sr4144,sys1800,part64
51,2020-02-16,2020-03-20,Field Service,14666.514990000001,0.0,sr2885,sys1972,part2
60,2017-12-14,2018-01-15,Field Service,153.5910626,0.0,sr7861,sys1227,part32
64,2019-11-13,2019-12-27,,0.8773411,0.0,sr5568,sys2248,part115
67,2018-07-16,2018-08-18,Field Service,303.35668569999996,0.0,sr8719,sys1789,part151
71,2018-03-08,2018-09-13,,18.157201999999998,0.0,sr5523,sys1810,part61
73,2020-11-11,2021-08-01,,23.75703286,0.0,sr2948,sys1810,part152
74,2019-07-08,2019-08-09,Field Service,14972.16789,0.0,sr1566,sys1810,part2
75,2018-11-07,2018-08-11,Field Service,70.94039457,0.0,sr4321,sys1810,part279
77,2017-11-12,2018-01-13,Field Service,277.06362889999997,0.0,sr1740,sys1226,part7
78,2020-01-16,2020-02-24,Field Service,108.96988619999999,0.0,sr683,sys1897,part49
79,2021-09-16,2021-09-16,Field Service,62.53486767,0.0,sr5817,sys1475,part93
80,2021-08-09,2021-09-14,Field Service,993.8018101,0.0,sr164,sys1475,part19
83,2017-12-27,2018-05-02,,0.82261972,0.0,sr4815,sys1837,part41
90,2019-10-29,2020-03-16,,101.55120009999999,0.0,sr74,sys1871,part207
93,2017-03-14,2017-04-05,Field Service,2223.175862,0.0,sr7482,sys2046,part58
96,2019-09-20,2020-12-01,Field Service,62.67,0.0,sr336,sys1966,part316
106,2019-11-02,2019-06-03,,18.13,0.0,sr3606,sys1745,part249
138,2015-09-18,2015-10-24,,834.4759772000001,0.0,sr4973,sys1883,part1
141,2020-06-17,2020-07-20,Field Service,693.9595613,0.0,sr1454,sys1883,part291
145,2021-08-04,2021-04-23,Field Service,495.2380893,0.0,sr10586,sys1797,part166
146,2018-08-11,2018-12-21,,22.08824271,0.0,sr1486,sys1616,part607
163,2019-10-17,2019-08-12,Field Service,861.9750237,0.0,sr967,sys1624,part528
165,2020-10-07,2020-08-13,Field Service,181.9308809,0.0,sr3304,sys1624,part10
169,2019-04-10,2019-07-12,,3.382080813,0.0,sr171,sys2032,part33
170,2017-04-05,2017-03-08,Field Service,262.17557519999997,0.0,sr3026,sys2032,part102
174,2020-11-30,2021-06-01,Field Service,251.0303563,0.0,sr8233,sys2017,part11
193,2021-03-24,2021-08-04,,62.0,0.0,sr13820,sys1790,part18
199,2020-07-07,2020-02-10,,260.9,0.0,sr92,sys1695,part154
204,2018-03-12,2019-01-17,Field Service,132.78,0.0,sr12600,sys1768,part104
212,2020-02-25,2020-06-08,Field Service,276.37077400000004,0.0,sr8600,sys1557,part62
216,2017-06-30,2017-07-07,,1419.062897,0.0,sr61,sys1523,part409
224,2015-12-28,2016-04-02,Field Service,75.62552836,0.0,sr2906,sys1122,part111
234,2018-01-31,2018-06-03,,24.13286486,0.0,sr4512,sys1991,part17
246,2013-12-27,2014-02-02,Field Service,0.0,0.0,sr4988,sys1121,part1
257,2021-02-17,2021-03-21,,18.31843507,0.0,sr5536,sys1784,part356
265,2021-01-18,2021-02-26,Field Service,1611.97449,0.0,sr243,sys1762,part146
272,2020-12-21,2021-01-30,Field Service,339.4412191,0.0,sr5244,sys1486,part26
274,2020-04-22,2020-05-24,,1.689492948,0.0,sr6938,sys1486,part204
277,2021-04-27,2021-08-06,Field Service,996.4507380000001,0.0,sr8279,sys1634,part19
323,2018-04-22,2018-07-26,Field Service,86.38787853,0.0,sr2966,sys1674,part111
324,2021-10-05,2021-11-09,,0.036631494,0.0,sr281,sys1459,part1009
326,2016-03-15,2016-04-19,Field Service,585.0306873,0.0,sr630,sys1941,part139
333,2019-06-08,2019-08-13,Field Service,297.5249401,0.0,sr2147,sys1659,part54
359,2020-10-14,2020-11-19,Field Service,102.74002259999999,0.0,sr5916,sys1261,part51
361,2019-05-02,2019-03-22,Field Service,87.96512046,0.0,sr11530,sys2153,part111
365,2018-08-02,2018-04-24,Field Service,134.2449743,0.0,sr4027,sys1510,part194
371,2019-02-08,2019-07-09,Field Service,46.36650228,0.0,sr7816,sys1652,part72
372,2021-07-06,2021-07-13,,23.48078765,0.0,sr10662,sys1982,part12
375,2020-10-23,2020-04-12,Field Service,51.07966441,0.0,sr3308,sys2154,part72
379,2020-06-29,2020-07-09,Field Service,1194.649467,0.0,sr233,sys1736,part53
392,2018-10-24,2019-01-17,Field Service,59.2046091,0.0,sr8450,sys1902,part70
396,2021-08-23,2021-09-09,Field Service,66.181723,0.0,sr6300,sys1868,part9
400,2018-10-29,2018-08-12,,907.8194024000001,0.0,sr5097,sys1488,part1
406,2019-10-22,2019-11-29,,344.15178849999995,0.0,sr14098,sys1001,part30
411,2019-12-17,2020-01-20,,811.2447068,0.0,sr7422,sys1100,part1
413,2020-08-13,2020-08-21,Field Service,1231.21849,0.0,sr11,sys2244,part53
421,2018-07-08,2018-08-17,Field Service,95.18187579999999,0.0,sr6263,sys1744,part10
449,2019-07-29,2019-02-09,Field Service,599.8448661,0.0,sr8353,sys1759,part122
463,2018-02-21,2018-03-30,,31.385126399999997,0.0,sr4360,sys1075,part5
469,2021-06-05,2021-06-05,Field Service,14612.71532,0.0,sr1810,sys986,part3
481,2016-03-30,2016-03-05,Field Service,107.70342050000001,0.0,sr2682,sys1554,part42
482,2017-01-31,2017-05-03,Field Service,16754.98528,0.0,sr797,sys1842,part3
484,2019-03-25,2019-04-27,Field Service,946.357568,0.0,sr14936,sys1842,part56
488,2015-12-06,2017-08-29,Field Service,10863.46471,0.0,sr3037,sys2188,part16
489,2017-04-04,2017-05-22,Field Service,566.8478771000001,0.0,sr1363,sys875,part139
495,2018-05-11,2018-08-12,Field Service,2596.928201,0.0,sr333,sys2270,part4
496,2020-07-08,2020-09-17,,32.44745,0.0,sr8313,sys2427,part145
501,2019-11-18,2020-01-28,Field Service,59.9513453,0.0,sr1547,sys896,part9
513,2016-04-15,2016-05-23,Field Service,860.5155068,0.0,sr8250,sys1648,part1
515,2019-07-15,2019-07-25,Field Service,847.66046,0.0,sr6054,sys1648,part8
516,2017-03-11,2017-07-12,Field Service,640.1561598999999,0.0,sr6390,sys1806,part7
519,2018-06-25,2018-07-30,Field Service,497.4244036,0.0,sr1741,sys2510,part22
522,2020-10-11,2021-05-17,,482.0865132,0.0,sr3528,sys1762,part163
523,2020-11-18,2020-12-21,Field Service,269.7829612,0.0,sr8552,sys1817,part24
530,2018-06-09,2018-11-25,Field Service,7788.185931,0.0,sr1169,sys1486,part170
558,2019-09-04,2019-05-18,Field Service,14885.18815,0.0,sr1119,sys1033,part2
559,2018-06-11,2018-10-12,Field Service,103.42963,0.0,sr7863,sys1721,part10
568,2020-02-12,2021-01-02,Field Service,56.41879197,0.0,sr214,sys1778,part394
578,2017-12-07,2017-09-17,,554.5859522999999,0.0,sr491,sys1965,part1
580,2020-02-23,2020-03-04,Field Service,202.1698869,0.0,sr8094,sys1900,part15
588,2017-11-14,2018-08-01,,19.44005343,0.0,sr2539,sys1975,part196
596,2021-10-09,2021-09-16,,32.78479163,0.0,sr13961,sys1654,part731
599,2021-07-29,2021-04-09,Field Service,489.8489664,0.0,sr708,sys1861,part406
625,2020-12-17,2021-01-24,Field Service,139.0995394,0.0,sr3607,sys2154,part177
637,2020-10-11,2020-12-22,,213.87687180000003,0.0,sr2877,sys1726,part81
644,2020-03-08,2020-07-09,Field Service,1054.987092,0.0,sr1702,sys1868,part19
653,2018-09-02,2018-03-16,Field Service,2815.726577,0.0,sr1080,sys1001,part4
657,2017-02-26,2017-03-13,Field Service,2413.400964,0.0,sr6964,sys834,part4
663,2018-01-17,2018-02-22,,2.17381491,0.0,sr7213,sys1623,part168
675,2013-04-11,2013-12-14,Field Service,0.0,0.0,sr2807,sys1311,part345
686,2020-06-26,2020-09-28,,29.45764925,0.0,sr705,sys1041,part5
717,2017-02-22,2017-08-04,Field Service,341.2501592,0.0,sr4296,sys2426,part1091
718,2017-05-24,2017-08-07,Field Service,108.3470909,0.0,sr1616,sys2441,part42
747,2020-02-28,2020-03-04,,7.121072346,0.0,sr1528,sys884,part767
748,2019-11-29,2019-12-31,Field Service,14534.778,0.0,sr3316,sys1508,part2
751,2017-11-22,2017-12-26,,164.8024018,0.0,sr9306,sys812,part25
761,2021-11-02,2021-03-04,Field Service,67.85141202,0.0,sr1075,sys875,part9
764,2018-05-30,2018-09-07,Field Service,973.1338810000001,0.0,sr7984,sys1948,part31
770,2017-01-02,2017-06-03,Field Service,311.3306642,0.0,sr3583,sys923,part142
800,2021-12-03,2021-04-06,Field Service,394.0207432,0.0,sr3976,sys1476,part18
807,2021-06-17,2021-07-30,,2.0391531659999997,0.0,sr1742,sys635,part305
810,2017-10-20,2017-12-15,Field Service,931.5953007999999,0.0,sr5628,sys1984,part1
816,2017-04-27,2017-02-06,Field Service,289.28058569999996,0.0,sr9055,sys1993,part7
819,2017-05-18,2017-07-24,Field Service,150.75876259999998,0.0,sr2635,sys1732,part250
822,2019-06-19,2019-06-08,Field Service,7464.0832040000005,0.0,sr5658,sys850,part40
825,2021-01-26,2021-06-03,,4.879522,0.0,sr6649,sys2157,part134
840,2016-12-21,2017-02-25,Field Service,196.56687140000003,0.0,sr3228,sys1864,part202
844,2020-06-02,2020-03-15,Field Service,1684.3665420000002,0.0,sr1304,sys1592,part60
846,2019-09-24,2019-05-11,Field Service,126.66913219999999,0.0,sr3182,sys1551,part419
852,2019-05-04,2019-05-13,Field Service,317.11504039999994,0.0,sr7857,sys1831,part158
854,2018-07-18,2019-05-12,Field Service,593.6773363,0.0,sr1328,sys2100,part126
867,2020-05-11,2021-08-02,,33.63119174,0.0,sr2173,sys1693,part23
