,ownershiptype,systemcoveragelevelwarrantyc,installdate,ageagainstinstallation,deinstalldate,avgreplacementage,expectedreplacementdate,transferacceptancedate,shippeddate,warrantystartdate,warrantyenddate,contractstartdate,contractenddate,typ,contract_line_status,contract_length_days,contract_start_date,contract_end_date,contractcanceldate,last_covered_date,contract_length_months,dummy_sysid
162794,Purchase,HBS,2001-01-01,20.75,,2.24,APR-02-2003,,JAN-01-2001,JAN-01-2001,JAN-06-2002,,,WARRANTY,,,,,,,,sys2583
27332,,Contract,2010-06-27,11.26,,5.55,JAN-16-2016,,JUN-26-2010,,,,,COMPONENT,,,,,,31-08-2022 00:00,,sys776
91960,,Contract,2010-07-21,11.2,,5.55,FEB-09-2016,,JUL-17-2010,,,,,COMPONENT,,,,,,28-02-2023 00:00,,sys1501
99181,,Contract,2010-07-29,11.18,,4.05,AUG-17-2014,JUL-30-2010,,,,JAN-01-2020,DEC-31-2020,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1420
57547,Lease,HBS,2010-08-15,11.13,2019-03-13,5.55,MAR-05-2016,,AUG-13-2010,,,,,COMPONENT,,,,,,31-08-2019 00:00,,sys1263
96704,,Contract,2010-08-15,11.13,,408.51,NOV-12-2418,SEP-22-2010,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1041
91655,,HBS,2010-08-18,11.12,,1.27,NOV-25-2011,AUG-20-2010,,,,JAN-01-2016,DEC-31-2016,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-03-2021 00:00,12.0,sys1393
152278,,Contract,2010-08-23,11.11,,4.05,SEP-11-2014,SEP-17-2010,,,,FEB-23-2014,FEB-22-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-03-2022 00:00,12.0,sys1529
55136,,Contract,2010-09-08,11.06,,5.55,MAR-29-2016,,SEP-04-2010,,,,,COMPONENT,,,,,,30-09-2021 00:00,,sys992
162515,,HBS,2010-09-17,11.04,,408.51,DEC-15-2418,SEP-20-2010,,,,OCT-01-2012,SEP-30-2013,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-09-2018 00:00,12.0,sys1789
44528,,HBS,2010-09-21,11.03,,5.07,OCT-16-2015,,SEP-18-2010,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys980
110522,,Contract,2010-09-24,11.02,,408.51,DEC-22-2418,SEP-24-2010,AUG-09-2010,,,MAR-13-2015,MAR-12-2016,CONTRACTS,Active,366.0,,,,15-11-2021 00:00,12.0,sys649
9472,,Contract,2010-10-02,11.0,,5.69,JUN-10-2016,,SEP-29-2010,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys363
69335,,HBS,2010-11-04,10.91,,5.55,MAY-25-2016,,OCT-31-2010,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys879
162383,,HBS,2010-11-23,10.86,,408.51,FEB-20-2419,NOV-26-2010,,,,,,WARRANTY,,,,,,,,sys2258
57114,,Contract,2010-11-23,10.86,,5.55,JUN-13-2016,,NOV-20-2010,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys905
59414,,Contract,2010-11-24,10.85,,5.55,JUN-14-2016,,NOV-21-2010,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys999
15321,,Contract,2010-12-03,10.83,,4.05,DEC-22-2014,DEC-21-2010,,,,,,COMPONENT,,,,,,30-11-2021 00:00,,sys1719
96689,,Contract,2010-12-03,10.83,,408.51,MAR-02-2419,,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1565
160783,,Contract,2010-12-14,10.8,,408.51,MAR-13-2419,,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys710
160027,,Contract,2010-12-16,10.79,,5.69,AUG-24-2016,,DEC-12-2010,,,JAN-01-2016,DEC-31-2016,CONTRACTS,Expired,366.0,,,,28-02-2023 00:00,12.0,sys828
11648,,Contract,2010-12-20,10.78,,5.55,JUL-10-2016,,DEC-18-2010,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1135
16099,,Contract,2010-12-20,10.78,,408.51,MAR-19-2419,,,,,,,COMPONENT,,,,,,30-09-2021 00:00,,sys1148
103383,,Contract,2010-12-20,10.78,,408.51,MAR-19-2419,NOV-26-2010,,,,OCT-12-2017,DEC-31-2017,CONTRACTS,Active,81.0,00:00.0,00:00.0,,30-11-2021 00:00,2.6451599999999997,sys1418
156977,Lease,Contract,2010-12-21,10.78,,5.55,JUL-11-2016,,DEC-18-2010,,,,,COMPONENT,,,,,,27-09-2022 00:00,,sys1026
41891,,Contract,2010-12-21,10.78,,8.94,NOV-30-2019,,DEC-18-2010,,,,,COMPONENT,,,,,,31-05-2022 00:00,,sys1324
128451,,HBS,2010-12-23,10.77,,4.05,JAN-11-2015,DEC-28-2010,,,,,,COMPONENT,,,,,,,,sys2272
17265,,Contract,2010-12-28,10.76,,8.94,DEC-07-2019,,,,,NOV-01-2016,OCT-31-2017,CONTRACTS,Expired,365.0,,,,31-10-2022 00:00,12.0,sys1254
